config	codepoints	kinds	matched_entry	baseline	new
default	E668:200C:E650:E653	cell	boundary-echo	qsRoe|space|qsPea.noentry|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsPea/full/None/baseline/locked|qsDay/half/baseline/None/
default	E668:200C:E650:E668	cell	boundary-echo	qsRoe|space|qsPea.half.ex-y5.ex-dips|qsRoe.en-y5.en-con-1	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsPea/half/None/x-height/locked|qsRoe/hapax/x-height/None/en-con-1
default	E668:200C:E652:E652	cell	boundary-echo	qsRoe|space|qsTea.ex-y0|qsTea	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsTea/full/None/None/locked|qsTea/full/None/None/
default	E668:200C:E652:E653	cell	boundary-echo	qsRoe|space|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsTea/full/None/baseline/locked|qsDay/half/baseline/None/en-ext-1
default	E668:200C:E653:E652	cell	boundary-echo	qsRoe|space|qsDay.noentry|qsTea.en-y0	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsDay/full/None/baseline/locked|qsTea/full/baseline/None/
default	E668:200C:E653:E653	cell	boundary-echo	qsRoe|space|qsDay.noentry|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsDay/full/None/baseline/locked|qsDay/half/baseline/None/
default	E668:200C:E653:E668	cell	boundary-echo	qsRoe|space|qsDay.noentry|qsRoe	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsDay/full/None/baseline/locked|qsRoe/hapax/baseline/None/
default	E668:200C:E668:E668	cell	boundary-echo	qsRoe|space|qsRoe.en-y0.ex-y5.noentry|qsRoe	qsRoe/hapax/None/None/|zwnj/boundary/None/None/|qsRoe/hapax/None/x-height/locked|qsRoe/hapax/x-height/None/
default	E668:E650:E650:0020	cell	boundary-echo	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6|space	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/|space/boundary/None/None/
default	E668:E650:E650:00B7	cell	dangling-anchor-dropped	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6|periodcentered	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/|namer-dot/boundary/None/None/
default	E668:E650:E650:200C	cell	boundary-echo	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6|space	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/|zwnj/boundary/None/None/
default	E668:E650:E650:E650	cell	dangling-anchor-dropped	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/half/y6/y6/|qsPea/full/y6/None/
default	E668:E650:E650:E652	cell	dangling-anchor-dropped	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6.ex-y0|qsTea	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/|qsTea/full/None/None/
default	E668:E650:E650:E653	cell	dangling-anchor-dropped	qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6.ex-y0|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/full/y6/baseline/|qsDay/half/baseline/None/
